
All primitive solutions with B <= 7200^2

        1 =    1^2,        25 =    5^2,        49 =    7^2  with difference        24
   625681 =  791^2,   1394761 = 1181^2,   2163841 = 1471^2  with difference    769080
   167281 =  409^2,   1413721 = 1189^2,   2660161 = 1631^2  with difference   1246440
   108241 =  329^2,   1413721 = 1189^2,   2719201 = 1649^2  with difference   1305480
      529 =   23^2,   1423249 = 1193^2,   2845969 = 1687^2  with difference   1422720
  1324801 = 1151^2,   1442401 = 1201^2,   1560001 = 1249^2  with difference    117600
  1100401 = 1049^2,   1452025 = 1205^2,   1803649 = 1343^2  with difference    351624
   398161 =  631^2,   1452025 = 1205^2,   2505889 = 1583^2  with difference   1053864
   889249 =  943^2,   1471369 = 1213^2,   2053489 = 1433^2  with difference    582120
    82369 =  287^2,   1481089 = 1217^2,   2879809 = 1697^2  with difference   1398720
  1168561 = 1081^2,   1510441 = 1229^2,   1852321 = 1361^2  with difference    341880
   214369 =  463^2,   1530169 = 1237^2,   2845969 = 1687^2  with difference   1315800
   863041 =  929^2,   1540081 = 1241^2,   2217121 = 1489^2  with difference    677040
   516961 =  719^2,   1540081 = 1241^2,   2563201 = 1601^2  with difference   1023120
    25921 =  161^2,   1560001 = 1249^2,   3094081 = 1759^2  with difference   1534080
   591361 =  769^2,   1590121 = 1261^2,   2588881 = 1609^2  with difference    998760
   361201 =  601^2,   1590121 = 1261^2,   2819041 = 1679^2  with difference   1228920
    82369 =  287^2,   1630729 = 1277^2,   3179089 = 1783^2  with difference   1548360
   229441 =  479^2,   1651225 = 1285^2,   3073009 = 1753^2  with difference   1421784
      961 =   31^2,   1651225 = 1285^2,   3301489 = 1817^2  with difference   1650264
   361201 =  601^2,   1661521 = 1289^2,   2961841 = 1721^2  with difference   1300320
  1495729 = 1223^2,   1682209 = 1297^2,   1868689 = 1367^2  with difference    186480
  1560001 = 1249^2,   1692601 = 1301^2,   1825201 = 1351^2  with difference    132600
  1067089 = 1033^2,   1723969 = 1313^2,   2380849 = 1543^2  with difference    656880
   124609 =  353^2,   1723969 = 1313^2,   3323329 = 1823^2  with difference   1599360
   829921 =  911^2,   1745041 = 1321^2,   2660161 = 1631^2  with difference    915120
   844561 =  919^2,   1755625 = 1325^2,   2666689 = 1633^2  with difference    911064
    10609 =  103^2,   1755625 = 1325^2,   3500641 = 1871^2  with difference   1745016
   552049 =  743^2,   1809025 = 1345^2,   3066001 = 1751^2  with difference   1256976
    49729 =  223^2,   1809025 = 1345^2,   3568321 = 1889^2  with difference   1759296
   461041 =  679^2,   1852321 = 1361^2,   3243601 = 1801^2  with difference   1391280
    58081 =  241^2,   1874161 = 1369^2,   3690241 = 1921^2  with difference   1816080
  1481089 = 1217^2,   1885129 = 1373^2,   2289169 = 1513^2  with difference    404040
     7921 =   89^2,   1907161 = 1381^2,   3806401 = 1951^2  with difference   1899240
  1117249 = 1057^2,   1918225 = 1385^2,   2719201 = 1649^2  with difference    800976
   305809 =  553^2,   1918225 = 1385^2,   3530641 = 1879^2  with difference   1612416
  1825201 = 1351^2,   1974025 = 1405^2,   2122849 = 1457^2  with difference    148824
   790321 =  889^2,   1974025 = 1405^2,   3157729 = 1777^2  with difference   1183704
  1540081 = 1241^2,   1985281 = 1409^2,   2430481 = 1559^2  with difference    445200
  1270129 = 1127^2,   2007889 = 1417^2,   2745649 = 1657^2  with difference    737760
   146689 =  383^2,   2007889 = 1417^2,   3869089 = 1967^2  with difference   1861200
  1018081 = 1009^2,   2042041 = 1429^2,   3066001 = 1751^2  with difference   1023960
   508369 =  713^2,   2053489 = 1433^2,   3598609 = 1897^2  with difference   1545120
  1868689 = 1367^2,   2088025 = 1445^2,   2307361 = 1519^2  with difference    219336
   786769 =  887^2,   2088025 = 1445^2,   3389281 = 1841^2  with difference   1301256
  1456849 = 1207^2,   2111209 = 1453^2,   2765569 = 1663^2  with difference    654360
   579121 =  761^2,   2146225 = 1465^2,   3713329 = 1927^2  with difference   1567104
    36481 =  191^2,   2146225 = 1465^2,   4255969 = 2063^2  with difference   2109744
  1079521 = 1039^2,   2157961 = 1469^2,   3236401 = 1799^2  with difference   1078440
   279841 =  529^2,   2157961 = 1469^2,   4036081 = 2009^2  with difference   1878120
    22801 =  151^2,   2193361 = 1481^2,   4363921 = 2089^2  with difference   2170560
   398161 =  631^2,   2217121 = 1489^2,   4036081 = 2009^2  with difference   1818960
   744769 =  863^2,   2229049 = 1493^2,   3713329 = 1927^2  with difference   1484280
  2122849 = 1457^2,   2289169 = 1513^2,   2455489 = 1567^2  with difference    166320
   113569 =  337^2,   2289169 = 1513^2,   4464769 = 2113^2  with difference   2175600
  1803649 = 1343^2,   2301289 = 1517^2,   2798929 = 1673^2  with difference    497640
   247009 =  497^2,   2301289 = 1517^2,   4355569 = 2087^2  with difference   2054280
  1852321 = 1361^2,   2325625 = 1525^2,   2798929 = 1673^2  with difference    473304
   461041 =  679^2,   2325625 = 1525^2,   4190209 = 2047^2  with difference   1864584
  1423249 = 1193^2,   2362369 = 1537^2,   3301489 = 1817^2  with difference    939120
  1216609 = 1103^2,   2362369 = 1537^2,   3508129 = 1873^2  with difference   1145760
   128881 =  359^2,   2399401 = 1549^2,   4669921 = 2161^2  with difference   2270520
